Store Number,Store Name,Customer Segment,Address,County,Store Longitude,Store Latitude
5684,FIVE CORNERS LIQUOR & WINE,Champions,809 E 18TH ST,BLACK HAWK,-92.43686,42.52138
4368,KUM & GO #570 / JOHNSTON,Big Spenders,5800 NORTHGLEN DR,POLK,-93.69849,41.68273
5062,CASEY'S GENERAL STORE #2318 / MONTRO,Big Spenders,"111, MAIN ST",LEE,-91.41497,40.53226
4877,WORLD LIQUOR & TOBACCO,Champions,1775 NW 86TH ST,POLK,-93.73588,41.60775
3663,WAL-MART 1496 / WATERLOO,Champions,1334 FLAMMANG DR,BLACK HAWK,-92.33011,42.46002
5806,CASEY'S GENERAL STORE #1159 / CORRECTIONVILLE,Need Attention,524 11TH ST,WOODBURY,-95.78308,42.4822
4507,CASEY'S GENERAL STORE #2902 / SPENCER,Big Spenders,411 W 18TH,CLAY,-95.151,43.15559
6238,WASHINGTON LIQUOR AND TOBACCO OUTLET / WASHINGTON,Big Spenders,304 WEST MADISON STREET,WASHINGTON,-91.69465,41.29647
3811,WAL-MART 1431 / KEOKUK,Champions,300 NORTH PARK DR,LEE,-91.40788,40.41712
4154,FAREWAY STORES #055 / HIAWATHA,Big Spenders,885 MILLER RD,LINN,-91.70229,42.04626
4733,WALGREENS #03773 / URBANDALE,Need Attention,4600 86TH ST,POLK,-93.73648,41.64398
5099,CASEY'S GENERAL STORE #2164 / ANKENY,Big Spenders,3505 N  ANKENY BLVD,POLK,-93.59968,41.76043
6271,KIMMES KINGSLEY COUNTRY STORE #16 / KINGSLEY,Big Spenders,109 MAIN ST.,PLYMOUTH,-95.96733,42.58712
3447,SAM'S CLUB 6432 / SIOUX CITY,Champions,4201 S. YORK ST.,WOODBURY,-96.37183,42.43391
3622,WAL-MART 1415 / SPIRIT LAKE,Champions,2600 HWY 71,DICKINSON,-95.12642,43.41565
4642,LIQUOR AND TOBACCO OUTLET / UNIV AVE WATERLOO,Need Attention,2844 UNIVERSITY AVE,BLACK HAWK,-92.38317,42.49851
5146,FAREWAY STORES #153  /  W DES MOINES,Champions,329 GRAND AVE,POLK,-93.70708,41.58271
4296,CIRCLE B MARKET,Big Spenders,111 MAIN ST,VAN BUREN,-91.9624,40.72938
4505,CASEY'S GENERAL STORE #2816 / JOHNSTON,Big Spenders,6417 NORTHGLEN DR,POLK,-93.70603,41.68789
4802,WALGREENS #07452 / DES MOINES,Potential Loyalist,4415 DOUGLAS AVE,POLK,-93.67882,41.6295
6115,CASEY'S #3920 / MOUNT PLEASANT,Big Spenders,2105 E WASHINGTON ST,HENRY,-91.52381,40.96073
4743,FAMILY FARE #791,Champions,1801 VALLEY VIEW DR,POTTAWATTAMIE,-95.81799,41.24404
5744,CASEY'S GENERAL STORE #1624 / WASHINGTON,Big Spenders,1002 W MADISON ST,WASHINGTON,-91.70444,41.29656
6034,THREE DOORS DOWN LIQUOR,Big Spenders,417 BROAD ST.,KOSSUTH,-94.42304,43.06358
4197,FAREWAY STORES #014 / SERGEANT BLUFF,Champions,700  1ST ST,WOODBURY,-96.35301,42.40049
4487,CASEY'S GENERAL STORE #2787 / CEDAR RAPIDS,Big Spenders,1661 32ND ST NE,LINN,-91.66236,42.01049
5073,"WILLIAMS BOULEVARD SERVICE, INC.",Potential Loyalist,"2601, WILLIAMS BLVD SW",LINN,-91.7069,41.96458
4300,FAREWAY STORES #625 / OSKALOOSA,Champions,311  3RD AVE W,MAHASKA,-92.64806,41.2926
4556,CASEY'S GENERAL STORE #2552 / GOLDFIELD,Big Spenders,319 E HWY 3,WRIGHT,-93.91698,42.73159
6197,MOUNT PLEASANT FOOD & LIQUOR / MT PLEASANT,Champions,309 W. WASHINGTON ST.,HENRY,-91.55711,40.96585
5338,KUM & GO #539/ NW 2ND AVE,Potential Loyalist,5050 NW 2ND AVE,POLK,-93.62108,41.6518
6326,BEST DEALS / WATERLOO,Champions,1459 ANSBOROUGH AVENUE,BLACK HAWK,-92.37697,42.49308
2571,HY-VEE FOOD STORE #2 / WATERLOO,Champions,2181 LOGAN AVE,BLACK HAWK,-92.33756,42.53048
5928,CASEY'S GENERAL STORE #1762 / ALGONA,Big Spenders,602 E STATE STREET,KOSSUTH,-94.23021,43.06887
5273,CASEY'S GENERAL STORE # 2598/ PELLA,Big Spenders,414 S CLARK STREET,MARION,-92.912281,41.392871
4783,CASEY'S GENERAL STORE #1684 / EMMETSBURG,Big Spenders,2406 MAIN ST,PALO ALTO,-94.68209,43.11196
6295,BOB & SCOTT'S / PRIMGHAR,Big Spenders,110 1ST STREET NORTHEAST,O'BRIEN,-95.62666,43.08725
3549,QUICKER LIQUOR STORE,Champions,1414 48TH ST,LEE,-91.37319,40.62423
6100,MOES MART #3 / COUNCIL BLUFFS,Big Spenders,154 BENNETT AVE,POTTAWATTAMIE,-95.82035,41.25284
4315,FAREWAY STORES #554 / WASHINGTON,Big Spenders,301 NORTH MARION AVE,WASHINGTON,-91.69305,41.30199
6305,JET STOP HOUGHTON / HOUGHTON,Need Attention,512 MAIN STREET,LEE,-91.60952,40.78469
